 DC+AC       output
0.500000 0.531712
0.563296 0.594626
0.625574 0.656017
0.685831 0.714897
0.743098 0.770320
0.796454 0.821394
0.845040 0.867296
0.888073 0.907288
0.924863 0.940727
0.954816 0.967074
0.977451 0.985906
0.992404 0.996919
0.999434 0.999937
0.998427 0.994911
0.989401 0.981921
0.972500 0.961177
0.947997 0.933013
0.916285 0.897881
0.877875 0.856347
0.833385 0.809079
0.783530 0.756839
0.729113 0.700465
0.671010 0.640866
0.610155 0.579001
0.547528 0.515864
0.484136 0.452472
0.420999 0.389845
0.359134 0.328990
0.299535 0.270887
0.243161 0.216470
0.190921 0.166615
0.143653 0.122125
0.102119 0.083715
0.066987 0.052003
0.038823 0.027500
0.018079 0.010599
0.005089 0.001573
0.000063 0.000566
0.003081 0.007596
0.014094 0.022549
0.032926 0.045184
0.059273 0.075137
0.092712 0.111927
0.132704 0.154960
0.178606 0.203546
0.229680 0.256902
0.285103 0.314169
0.343983 0.374426
0.405374 0.436704
0.468288 0.500000
0.000000 1.000000
0.000000 1.000000
0.000000 1.000000
1.000000 0.000000
1.000000 1.000000
1.000000 1.000000
0.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 1.000000
0.000000 1.000000
1.000000 1.000000
1.000000 1.000000
1.000000 0.000000
1.000000 1.000000
0.000000 1.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
1.000000 0.000000
0.000000 1.000000
0.000000 0.000000
1.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 1.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 0.000000
0.000000 1.000000
0.000000 0.000000
0.000000 0.000000
1.000000 0.000000
0.000000 1.000000
0.000000 1.000000
0.000000 0.000000
